# Команды JSON-RPC API Saby (СБИС), снято с saby.ru/help/integration/api 11.09.2026.
# Машиночитаемой спеки у Saby нет, поэтому список ведётся здесь: раздел, команда, назначение.
# section	command	summary
documents	СБИС.СписокДокументов	Возвращает список документов указанного типа
documents	СБИС.СписокДокументовПоСобытиям	Возвращает список документов реестров «Входящие» и «Исходящие» по событиям
documents	СБИС.ПрочитатьДокумент	Возвращает последнюю редакцию документа с заданным идентификатором
documents	СБИС.СписокИзменений	Возвращает список документов, по которым произошли изменения
documents	СБИС.СписокЗадач	Возвращает список задач по документам
documents	СБИС.СписокСлужебныхЭтапов	Возвращает список необработанных извещений о получении
documents	СБИС.ИнформацияОСлужебныхЭтапах	Возвращает список организаций, по которым нужно обработать служебные документы
documents	СБИС.ЗаписатьДокумент	Создает документ или его редакцию, обновляет реквизиты существующего
documents	СБИС.ЗаписатьВложение	Добавляет вложение к существующему документу, заменяя старые
documents	СБИС.ПодписатьВложение	Подписывает вложение электронной подписью
documents	СБИС.ПодготовитьДействие	Подготавливает документ к переходу на следующий этап документооборота
documents	СБИС.ВыполнитьДействие	Выполняет для документа переход с выбранного этапа документооборота
documents	СБИС.ПовторитьЭтап	Повторяет этап утверждения на входящем документе
documents	СБИС.ОтложитьСлужебныйЭтап	Приостанавливает возврат служебного этапа для текущей сессии
documents	СБИС.ВосстановитьДокумент	Восстанавливает помещенный в корзину документ
documents	СБИС.УдалитьВложение	Удаляет вложение документа
documents	СБИС.УдалитьДокумент	Помечает документ как удаленный
documents	СБИС.УдалитьСлужебныйЭтап	Удаляет служебный этап, который клиент не может обработать
documents	СБИС.УничтожитьДокумент	Удаляет документ без возможности восстановления
auth	СБИС.Аутентифицировать	Выполняет аутентификацию по логину и паролю, возвращает идентификатор сессии
auth	СБИС.АутентифицироватьПоСертификату	Выполняет аутентификацию по сертификату, возвращает идентификатор сессии
auth	СБИС.ОтправитьКодАутентификации	Генерирует код подтверждения и отправляет его на телефон сотрудника
auth	СБИС.ПодтвердитьВход	Подтверждает вход по коду из СМС
auth	СБИС.ПереключитьАккаунт	Выполняет аутентификацию в другом аккаунте, возвращает новый идентификатор сессии
auth	СБИС.СписокАккаунтов	Возвращает список доступных аккаунтов
auth	СБИС.СписокСертификатовДляАутентификации	Возвращает список сертификатов, пригодных для входа
auth	СБИС.ИнформацияОТекущемПользователе	Возвращает информацию об аутентифицированном пользователе
auth	СБИС.Выход	Завершает сессию обмена данными
users	СБИС.ДобавитьПользователя	Добавляет пользователя с минимальными правами
users	СБИС.ЗаписатьСотрудника	Создает или обновляет карточку сотрудника
signature	СБИС.СписокСертификатов	Возвращает список действительных сертификатов, собственных и делегированных
signature	СБИС.ПроверитьСертификаты	Возвращает статус сертификатов
signature	СБИС.ПолучитьКодАктивацииСертификата	Запрашивает отправку смс с паролем для ключа с защитой от НСД
signature	СБИС.АктивироватьСертификат	Передает код активации ключа: постоянный ПИН или одноразовый пароль
counteragents	СБИС.ИнформацияОКонтрагенте	Возвращает информацию о контрагенте, включая идентификатор участника ЭДО
organizations	СБИС.СписокНашихОрганизаций	Возвращает список наших организаций и их реквизиты
organizations	СБИС.СписокПодразделений	Получает информацию по подразделениям в личном кабинете
organizations	СБИС.ЗаписатьПодразделение	Добавляет новое подразделение или обновляет информацию о нём
poa	sabyMchd.GetStatus	Получить статус и краткие данные об МЧД из ЦПРР ФНС
poa	sabyMchd.GetContent	Получить из реестра ФНС архив с файлом МЧД и подписью
poa	sabyMchd.SendRegistration	Зарегистрировать МЧД в ЦПРР ФНС
poa	sabyMchd.SendRevocation	Аннулировать МЧД в ЦПРР ФНС
service	СБИС.ИнформацияОВерсии	Возвращает версию программного интерфейса и доступные возможности
service	СБИС.СформироватьHTMLИзXML	Возвращает html-представление формализованного документа
service	СБИС.ИмпортНоменклатурыИзCML	Загружает номенклатуру из файла CommerceML
